Показатель;Наш расчет;Пример студента;Разница;Совпадение
Основные материалы;11,812.14 руб;11,812.14 руб;0.0000;ДА
Полуфабрикаты и комплектующие;154,321.61 руб;154,321.61 руб;0.0040;ДА
Топливо и энергия;2,701.36 руб;2,701.36 руб;0.0000;ДА
Основная зарплата;32,612.36 руб;32,612.36 руб;0.0000;ДА
Дополнительная зарплата;13,044.94 руб;13,044.94 руб;0.0040;ДА
Отчисления;10,044.61 руб;10,044.61 руб;0.0000;ДА
Производственная себестоимость;315,851.63 руб;315,851.87 руб;0.2400;НЕТ
Полная себестоимость;325,327.18 руб;325,327.42 руб;0.2400;НЕТ
Прибыль;71,571.98 руб;71,572.03 руб;0.0500;НЕТ
Оптовая цена;396,899.16 руб;396,899.45 руб;0.2900;НЕТ
