Наименование статей расходов;Изделие А на единицу, руб;Изделие А на годовой выпуск, тыс.руб.;Изделие Б на единицу, руб;Изделие Б на годовой выпуск, тыс.руб.;Себестоимость годового выпуска продукции, тыс.руб.;Структура расходов,%
1. Основные материалы за вычетом возвратных отходов;12839.44;1296.78;6166.45;413.15;1709.94;3.47%
2. Покупные полуфабрикаты и комплектующие изделия;171898.36;17361.73;156402.14;10478.94;27840.68;56.51%
3. Топливо и энергия на технологические потребности;3003.87;303.39;1974.52;132.29;435.68;0.88%
4. Основная заработная плата производственных рабочих;35206.52;3555.86;6008.12;402.54;3958.40;8.03%
5. Дополнительная заработная плата производственных рабочих;14082.61;1422.34;2403.25;161.02;1583.36;3.21%
6. Отчисление в фонды социальных мероприятий;10843.61;1095.20;1850.50;123.98;1219.19;2.47%
7. Расходы по содержанию и эксплуатации оборудования;28165.22;2844.69;4806.50;322.04;3166.72;6.43%
8. Общепроизводственные расходы;31685.87;3200.27;5407.31;362.29;3562.56;7.23%
9. Общехозяйственные расходы;38727.17;3911.44;6608.93;442.80;4354.24;8.84%
ВСЕГО производственная себестоимость;346452.67;34991.72;191627.72;12839.06;47830.78;97.09%
10. Внепроизводственные расходы;10393.58;1049.75;5748.83;385.17;1434.92;2.91%
ВСЕГО полная (коммерческая) себестоимость;356846.25;36041.47;197376.55;13224.23;49265.70;100.00%
11. Прибыль;78506.18;7929.12;43422.84;2909.33;10838.45;22.00%
12. Оптовая (отпускная) цена;435352.43;;240799.39;;;
