№;Показатели;Номер дополнения;Ед. измерения;Изделие А;Изделие Б
1;Основные материалы;2;;;
1.1;Стальной прокат:;;;;
;- расходы;;т;0.38;0.061
;- отходы;;т;0.0684;0.00305
1.2;Трубы стальные:;;;;
;- расходы;;т;0.04;0.015
;- отходы;;т;0.004;0.0012
1.3;Прокат цветных металлов;;руб;3100;2700
1.4;Другие материалы;;руб;700;560
2;Покупные полуфабрикаты (отливки):;2;;;
2.1;черных металлов;;;;
;- расходы;;т;2.1;3.25
;- отходы;;т;0.42;0.8125
2.2;цветных металлов;;;;
;- расходы;;т;0.13;0.18
;- отходы;;т;0.0221;0.0324
3;покупные комплектующие изделия;3;руб;168800;60300
4;Цена стального проката;4;руб /т;12800;12800
5;Цена стальных труб;4;руб /т;18500;18500
6;Цена отливок:;4;;;
;-черных металлов;;руб /т;10500;10500
;-цветных металлов;;руб /т;22600;22600
7;Цена отходов:;4;;;
;-стального проката;;руб /т;7500;7500
;-труб стальных;;руб /т;6300;6300
;-отливок черных металлов;;руб /т;7200;7200
;-отливок цветных металлов;;руб /т;16900;16900
8;Топливо и энергия на технологические потребности;5;%;1.8;1.6
9;Суммарная трудоемкость изделия;6;н-час;893.8;170.04
10;Часовая тарифная ставка;6;руб;35.6;35.6
11;Дополнительная зарплата;7;%;41;41
12;Отчисление на социальное страхование;7;%;22;22
13;Расходы на содержание и эксплуатацию оборудования;7;%;110;110
14;Общепроизводственные расходы;7;%;110;110
15;Общехозяйственные расходы;7;%;140;140
16;Внепроизводственные расходы;7;%;5;5
17;Норматив рентабельности к себестоимости;7;%;25;25
18;Годовой объем производства;1;шт;125;31
