№;Показатели;Един. измерения;Условные обозначения;А;Б
1;Годовой объем товарной продукции;тыс.руб.;Qт;72967.69;31055.57
2;Расходы основных материалов на годовой выпуск;тыс.руб.;Сом;1463.7;462.48
3;Расходы покупных полуфабрикатов и комплектующих на годовой выпуск;тыс.руб.;Спок;19596.41;11730.16
4;Годовые расходы вспомогательных материалов;тыс.руб.;Свм;1800.0;1300.0
5;Норма запаса основных материалов;Дн;Ном;30.0;25.0
6;Норма запаса покупных полуфабрикатов и комплектующих;Дн;Нпок;20.0;10.0
7;Норма запаса вспомогательных материалов;Дн;Нвм;10.0;12.0
8;Норматив оборотных средств по прочим производственным запасам;тыс.руб.;ОСпрз;800.0;700.0
9;Производственная себестоимость одного изделия;Руб;С;547807.11;353056.64
10;Начальные материальные расходы (сумма расходов по первым двум статьям калькуляции);Руб;См;184737.8;162568.59000000003
11;Длительность производственного цикла;Дн;Тц;10.0;5.0
12;Норма запаса готовой продукции;Дн;Нгп;3.0;2.0
13;Норматив оборотных средств на расходы будущих периодов;тыс.руб.;ОСрбп;700.0;690.0
